BASIN,YEAR,STATION,TT,HW,SF,TMA,TDR,sg_rich
EAG,2007,1,0.135,0,0,0.02625,0,1
EAG,2007,2,0.09857142857142857,0,0,0.04714285714285714,0,1
EAG,2007,3,0.15,0,0,0.03,0,1
EAG,2007,4,0.3,0,0,0.06999999999999999,0,1
EAG,2007,5,0.03,0.005,0,0.03,0,1.1666666666666667
EAG,2007,6,0.20625,0,0,0.02625,0.01875,1
EAG,2007,7,0.03,0.00375,0,0.045,0,1.125
EAG,2007,8,0.346875,0.0075,0,0.01875,0,1.25
EAG,2007,9,0.048,0,0,0.024,0.175,0.8
EAG,2007,10,0.0375,0,0,0.015,0.128125,0.75
EAG,2007,11,0.2785714285714286,0.09428571428571428,0,0.09857142857142857,0.025714285714285714,1.8571428571428572
EAG,2007,12,0.06,0.0075,0,0.02625,0,1.25
EAG,2007,13,0.06,0.03375,0,0.088125,0.050625,1.625
EAG,2007,14,0.15,0.00375,0,0.06,0.0075,1.125
EAG,2007,15,0.06,0.01875,0,0.03,0,1.625
EAG,2007,16,0.12,0.01875,0,0.01125,0,1.625
EAG,2007,17,0.20625,0.00375,0,0.03,0,1.125
EAG,2007,18,0.135,0.01875,0,0.02625,0,1.625
EAG,2007,19,0.15,0.02142857142857143,0,0.02142857142857143,0.105,1.7142857142857142
EAG,2007,20,0.71875,0,0,0.00375,0,1
EAG,2007,21,0.17625,0.0075,0,0.02625,0,1.25
EAG,2007,22,0.075,0.01875,0,0.01875,0,1.625
EAG,2007,23,0.045,0.02625,0,0.01125,0,1.875
EAG,2007,24,0.13285714285714284,0.017142857142857144,0,0.02142857142857143,0.004285714285714286,1.5714285714285714
EAG,2007,25,0.105,0.00375,0,0.01125,0,1.125
EAG,2007,26,0.01125,0.00375,0,0.0075,0.00375,0.5
EAG,2007,27,0.07125,0.01125,0,0.03,0,1.25
EAG,2007,28,0.135,0,0,0.01125,0.00375,1
EAG,2007,29,0.03375,0.015,0,0.01125,0.0075,1.125
EAG,2007,30,0.075,0.01125,0,0.01875,0.00375,1.375
EAG,2007,31,0.0225,0.01125,0,0.02625,0.00375,1.125
EAG,2008,1,0.219375,0.045,0,0.02625,0.10124999999999999,2
EAG,2008,2,0.118125,0.0075,0,0.041249999999999995,0.0075,1.25
EAG,2008,3,0.234375,0.00375,0,0.015,0.04875,1.125
EAG,2008,4,0.045,0.01125,0,0.06,0.06,1.375
EAG,2008,5,0.06,0.01875,0,0.02625,0,1.625
EAG,2008,6,0.06937499999999999,0.015,0,0.0525,0.00375,0.875
EAG,2008,7,0.01875,0.0225,0,0.02625,0.00375,1.375
EAG,2008,8,0.075,0.03,0,0.03,0.01875,2
EAG,2008,9,0.135,0.00375,0,0.03,0.00375,1.125
EAG,2008,10,0.135,0,0,0.0225,0.03,1
EAG,2008,11,0.20625,0.00375,0,0.075,0.00375,1.125
EAG,2008,12,0.07125,0.01125,0,0.02625,0.041249999999999995,1.25
EAG,2008,13,0.20625,0,0,0.02625,0.06,1
EAG,2008,14,0.06,0.015,0,0.03,0.07125,1.5
EAG,2008,15,0.075,0.015,0,0.0225,0.056249999999999994,1.5
EAG,2008,16,0.03,0.015,0,0.045,0.0525,1.5
EAG,2008,17,0.03,0,0,0.073125,0.190625,1
EAG,2008,18,0.075,0,0,0.03,0.08249999999999999,1
EAG,2008,19,0.12,0,0,0.03,0.10124999999999999,1
EAG,2008,20,0.12,0,0,0.03,0.148125,1
EAG,2008,21,0.135,0,0,0.02625,0.075,1
EAG,2008,22,0.15,0.0075,0,0.045,0.0225,1.25
EAG,2008,23,0.056249999999999994,0,0,0.0225,0,0.875
EAG,2008,24,0.03,0,0,0.088125,0,1
EAG,2008,25,0.20625,0.00375,0,0.01875,0.23249999999999998,1.125
EAG,2008,26,0.06,0.0075,0,0.03,0.01875,1.25
EAG,2008,27,0.20625,0.0075,0,0.01125,0.0375,1.25
EAG,2008,28,0.12,0.0075,0,0.02625,0.10124999999999999,1.25
EAG,2008,29,0.135,0.0225,0,0.01875,0.01125,1.75
EAG,2008,30,0.290625,0,0,0.01125,0.00375,1
EAG,2008,31,0.35,0,0,0.041249999999999995,0.125625,1
EAG,2009,1,0.088125,0.0075,0,0.178125,0.02625,1.25
EAG,2009,2,0.0525,0.015,0,0.041249999999999995,0.01875,1.25
EAG,2009,3,0.075,0.0225,0,0.0225,0,1.75
EAG,2009,4,0.075,0.01125,0,0.01125,0.03375,1.375
EAG,2009,5,0.02625,0.01875,0,0.0075,0,1.5
EAG,2009,6,0,0.04875,0,0.01125,0,0.625
EAG,2009,7,0.234375,0,0,0.03,0.0075,1
EAG,2009,8,0.015,0.015,0,0,0,1
EAG,2009,9,0,0.015,0,0.03,0,0.5
EAG,2009,10,0.075,0.0075,0,0.07125,0.00375,1.25
EAG,2009,11,0.03,0.03,0,0.03,0.0075,2
EAG,2009,12,0.06,0.00375,0,0.03,0.0075,1.125
EAG,2009,13,0.03,0.00375,0,0,0.00375,1.125
EAG,2009,14,0.03375,0,0,0.00375,0.175,0.625
EAG,2009,15,0.105,0,0,0.03,0.045,1
EAG,2009,16,0.045,0.00375,0,0.0225,0.0225,1.125
EAG,2009,17,0.234375,0.00375,0,0.075,0.06375,1.125
EAG,2009,18,0.20625,0.00375,0,0.03,0.160625,1.125
EAG,2009,19,0.03,0,0,0.03,0,1
EAG,2009,20,0.041249999999999995,0,0,0.03,0.01125,0.875
EAG,2009,21,0.02625,0,0,0.015,0.4375,0.875
EAG,2009,22,0.075,0.00375,0,0.03,0.01875,1.125
EAG,2009,23,0.03,0.00375,0,0.01875,0,1.125
EAG,2009,24,0.07125,0.0075,0,0.01875,0.23375,1.125
EAG,2009,25,0.075,0,0,0.03,0.00375,1
EAG,2009,26,0.20625,0.015,0,0.02625,0.0225,1.5
EAG,2009,27,0.09,0.02625,0,0.09,0.0225,1.875
EAG,2009,28,0.178125,0.01125,0,0.045,0.00375,1.375
EAG,2009,29,0.15,0.0075,0,0.01875,0.04875,1.25
EAG,2009,30,0.219375,0.015,0,0.075,0.00375,1.5
EAG,2009,31,0.346875,0,0,0.01125,0,1
EAG,2010,1,0.11624999999999999,0.01125,0,0.02625,0.0225,1.25
EAG,2010,2,0.04875,0.015,0,0.0525,0.01125,1.125
EAG,2010,3,0.01875,0.0075,0,0.015,0.02625,0.875
EAG,2010,4,0.135,0.01125,0,0.07125,0,1.375
EAG,2010,5,0.0525,0.0075,0,0.08625,0.075,1
EAG,2010,6,0.03375,0.00375,0,0.01125,0.01875,0.75
EAG,2010,7,0.08625,0.01125,0,0.041249999999999995,0.0225,1.25
EAG,2010,8,0.15,0.00375,0,0.041249999999999995,0.01875,1.125
EAG,2010,9,0.15,0.00375,0,0.015,0.01875,1.125
EAG,2010,10,0.15,0.0075,0,0.105,0.0375,1.25
EAG,2010,11,0.105,0.0225,0,0.178125,0.056249999999999994,1.75
EAG,2010,12,0.12,0.015,0,0.148125,0.04875,1.5
EAG,2010,13,0.12,0,0,0.01125,0,1
EAG,2010,14,0.20625,0,0,0.06,0.07875,1
EAG,2010,15,0.08625,0,0,0.00375,0.0225,0.875
EAG,2010,16,0.15,0,0,0.045,0.0075,1
EAG,2010,17,0.135,0,0,0.03,0.0225,1
EAG,2010,18,0.12,0.00375,0,0.02625,0.0225,1.125
EAG,2010,19,0.135,0,0,0.02625,0.11249999999999999,1
EAG,2010,20,0.178125,0.0075,0,0.03,0.31875,1.25
EAG,2010,21,0.15,0.00375,0,0.041249999999999995,0.07875,1.125
EAG,2010,22,0.06,0,0,0.01125,0,1
EAG,2010,23,0.135,0,0,0.01875,0.0975,1
EAG,2010,24,0.105,0.0075,0,0.15,0.06,1.25
EAG,2010,25,0.105,0.0075,0,0.12,0.110625,1.25
EAG,2010,26,0.15,0.00375,0,0.015,0.0075,1.125
EAG,2010,27,0.15,0,0,0.0075,0,1
EAG,2010,28,0.15,0,0,0.00375,0.045,1
EAG,2010,29,0.15,0.00375,0,0.01125,0.041249999999999995,1.125
EAG,2010,30,0.15,0,0,0.06,0.07875,1
EAG,2010,31,0.09,0.0075,0,0.056249999999999994,0.15,1.25
EAG,2011,1,0.0525,0.01125,0,0.4375,0.088125,1.125
EAG,2011,2,0.15,0.01875,0,0.03,0,1.625
EAG,2011,3,0.105,0.0225,0,0.041249999999999995,0,1.75
EAG,2011,4,0.07125,0.01125,0,0.0525,0,1.25
EAG,2011,5,0.075,0.01125,0,0.01875,0,1.375
EAG,2011,6,0.08625,0.0075,0,0.02625,0,1.125
EAG,2011,7,0.09,0,0,0.105,0,1
EAG,2011,8,0.10124999999999999,0.00375,0,0.118125,0.00375,1
EAG,2011,9,0.09,0.015,0,0.075,0,1.5
EAG,2011,10,0.0525,0.015,0,0.01875,0,1.25
EAG,2011,11,0.09,0.015,0,0.178125,0,1.5
EAG,2011,12,0.15,0,0,0.15,0.10124999999999999,1
EAG,2011,13,0.041249999999999995,0.015,0,0.0375,0.00375,1.375
EAG,2011,14,0.105,0.00375,0,0.06,0.00375,1.125
EAG,2011,15,0.105,0,0,0.01125,0.00375,1
EAG,2011,16,0.135,0,0,0.0225,0,1
EAG,2011,17,0.12,0.00375,0,0.03,0.075,1.125
EAG,2011,18,0.06,0,0,0.075,0,1
EAG,2011,19,0.03,0.0075,0,0.045,0.0225,1.25
EAG,2011,20,0.03,0.00375,0,0.03,0,1.125
EAG,2011,21,0.045,0,0,0.03,0.01875,1
EAG,2011,22,0.290625,0.01125,0,0.0225,0.091875,1.375
EAG,2011,23,0.20625,0.00375,0,0.03,0.00375,1.125
EAG,2011,24,0.105,0.01125,0,0.135,0,1.375
EAG,2011,25,0.0975,0.01125,0,0.09,0.01875,1.125
EAG,2011,26,0.105,0.015,0,0.15,0,1.5
EAG,2011,27,0.09,0,0,0.03,0,1
EAG,2011,28,0.06,0.01125,0,0.045,0.02625,1.375
EAG,2011,29,0.234375,0,0,0.01125,0,1
EAG,2011,30,0.15,0,0,0.0225,0,1
EAG,2011,31,0.12,0.00375,0,0.105,0,1.125
EAG,2012,1,0.08625,0.01125,0,0.09,0.191875,1.25
EAG,2012,2,0.12,0.00375,0,0.03,0.00375,1.125
EAG,2012,3,0.15,0,0,0.00375,0,1
EAG,2012,4,0.15,0.00375,0,0.015,0,1.125
EAG,2012,5,0.15,0,0,0.015,0,1
EAG,2012,6,0.15,0.015,0,0.00375,0,1.5
EAG,2012,7,0.15,0.0075,0,0.03,0,1.25
EAG,2012,8,0.15,0.0075,0,0.15,0.02625,1.25
EAG,2012,9,0.15,0.00375,0,0.075,0.0075,1.125
EAG,2012,10,0.105,0.0225,0,0.0225,0.01875,1.75
EAG,2012,11,0.09375,0,0,0.133125,0.0225,0.625
EAG,2012,12,0.12,0.00375,0,0.045,0.041249999999999995,1.125
EAG,2012,13,0.15,0.00375,0,0.045,0.105,1.125
EAG,2012,14,0.15,0.0075,0,0.045,0.056249999999999994,1.25
EAG,2012,15,0.075,0,0,0.03,0.01875,1
EAG,2012,16,0.15,0.0075,0,0.03,0.0525,1.25
EAG,2012,17,0.02625,0.00375,0,0.03,0.0225,1
EAG,2012,18,0.15,0.01875,0,0.06,0.04875,1.625
EAG,2012,19,0.135,0.00375,0,0.02625,0.00375,1.125
EAG,2012,20,0.15,0.00375,0,0.03,0,1.125
EAG,2012,21,0.15,0,0,0.06,0,1
EAG,2012,22,0.135,0,0,0.12,0.00375,1
EAG,2012,23,0.15,0.00375,0,0.075,0,1.125
EAG,2012,24,0.11624999999999999,0.01125,0,0.09,0.0675,1.25
EAG,2012,25,0.07125,0.0075,0,0.0375,0,1.125
EAG,2012,26,0.105,0.03,0,0.03,0,2
EAG,2012,27,0.135,0.0075,0,0.09,0,1.25
EAG,2012,28,0.0975,0.0225,0,0.045,0.02625,1.5
EAG,2012,29,0.0525,0.01875,0,0.0075,0,1.375
EAG,2012,30,0.15,0.015,0,0.15,0.06375,1.5
EAG,2012,31,0.12,0.015,0,0.07125,0.01875,1.5
EAG,2013,1,0.07125,0.01125,0,0.02625,0.0225,1.25
EAG,2013,2,0.105,0.015,0,0.03,0.02625,1.5
EAG,2013,3,0.15,0.0075,0,0.02625,0.00375,1.25
EAG,2013,4,0.135,0.01125,0,0.02625,0.0075,1.375
EAG,2013,5,0.15,0.01125,0,0.0225,0.0075,1.375
EAG,2013,6,0.01875,0.00375,0,0,0.1675,0.75
EAG,2013,7,0.135,0.00375,0,0.015,0.03375,1.125
EAG,2013,8,0.178125,0,0,0.0075,0.00375,1
EAG,2013,9,0.075,0.01875,0,0.0225,0,1.625
EAG,2013,10,0.08625,0.00375,0,0.041249999999999995,0.06375,1
EAG,2013,11,0.10124999999999999,0.00375,0,0.041249999999999995,0.0525,1
EAG,2013,12,0.11624999999999999,0.0075,0,0.06,0.00375,1.125
EAG,2013,13,0.135,0,0,0.01875,0,1
EAG,2013,14,0.15,0.015,0,0.01875,0.015,1.5
EAG,2013,15,0.105,0.02625,0,0.01875,0.045,1.875
EAG,2013,16,0.15,0.01125,0,0,0.0225,1.375
EAG,2013,17,0.01125,0.01125,0,0.02625,0.01125,0.75
EAG,2013,18,0.06,0.0075,0,0.02625,0.0225,1.25
EAG,2013,19,0.15,0.015,0,0.01875,0.01125,1.5
