BASIN,y1,y2,ychange,dist_cent,TT,HW,SF,sg_rich,TMA,TDR
EAG,2007,2008,1,0.5022267386939062,-0.10861323492367803,-0.04399571605533814,-1.1465353831452418e-5,0.010444312250734278,0.046662409984691455,0.48601725785396194
EAG,2007,2009,2,0.49302165998224157,-0.2621253929245585,-0.026477307428012575,-5.028488181962887e-5,-0.08461711557002927,0.0630929158125828,0.40313622137617283
EAG,2007,2010,3,0.5759750941988471,-0.17415989645406482,-0.08098791867059163,-3.600901305422788e-5,-0.14264566014278657,0.3028225373006163,0.4275597290233053
EAG,2007,2011,4,0.6161436781236442,-0.2102417831925416,-0.06254567540406342,-2.1332699511489306e-5,-0.028562177453901216,0.5716038460306394,-0.06302942128079281
EAG,2007,2012,5,0.37319121974110375,-0.1497537805439343,-0.046242249489336196,-3.4525762038606356e-5,0.01617512825488654,0.32925948931243315,0.07767688715727084
EAG,2007,2013,6,0.22710799212504912,-0.14016437718575192,-0.029099485486646537,9.110781132415369e-6,0.07633527103962168,0.05798678920890227,0.14797184187931697
EAG,2007,2014,7,0.45448328346519973,-0.40863825484165073,-0.013441861829132429,-2.2052640009651014e-5,-0.05391896000793239,0.08273588584548816,-0.17215303203415305
EAG,2007,2015,8,0.5637427679260547,-0.44535232972892924,-0.024305581837410828,1.4299749142854257e-5,0.009130556905676546,0.3149226753709672,-0.1400599541224808
EAG,2007,2016,9,0.48995105065958355,-0.31975125359372136,-0.09811854872161252,-1.554833304096004e-5,-0.169606015928768,0.1689588505473767,0.2662153718423621
EAG,2007,2017,10,0.3386889933140849,-0.21026707061071803,-0.06065330235370647,-2.361378093990174e-5,-0.08159612878201083,-0.05091626369029961,-0.23993493998266313
EAG,2007,2018,11,0.9655200692555087,-0.23211902085084657,-0.0074457931396745836,-4.2435301393306535e-5,0.11298524869474791,0.15738881176382769,0.9169282513736445
EAG,2007,2019,12,0.5694464797402681,-0.22146623232211227,0.06312359615664886,-2.475870404078373e-5,0.2972132548907309,0.29388675133726827,-0.31069642857711566
EAG,2007,2022,15,0.4524737162740977,-0.2831735092765856,-8.943785787739467e-4,-5.090857513434521e-5,0.09583133201347804,0.20082412820675447,-0.2739168676673099
EAG,2007,2023,16,0.3399327921930419,-0.2802075104892032,-0.03189361613472719,-2.6302668174549293e-5,0.0048788848253459305,0.058736584922182755,-0.1804080400263841
EAG,2008,2009,1,0.20012191681720473,-0.15351215800088047,0.017518408627325566,-3.881952798817645e-5,-0.09506142782076354,0.01643050582789135,-0.0828810364777891
EAG,2008,2010,2,0.3132676517699284,-0.0655466615303868,-0.03699220261525349,-2.454365922277546e-5,-0.15308997239352085,0.25616012731592486,-0.058457528830656635
EAG,2008,2011,3,0.7675999845612316,-0.10162854826886358,-0.018549959348725276,-9.867345680036888e-6,-0.039006489704635494,0.5249414360459479,-0.5490466791347548
EAG,2008,2012,4,0.4983306149290242,-0.041140545620256264,-0.0022465334339980547,-2.3060408207153937e-5,0.0057308160041522616,0.2825970793277417,-0.4083403706966911
EAG,2008,2013,5,0.34635521645122935,-0.031551142262073895,0.014896230568691604,2.0576134963867787e-5,0.0658909587888874,0.011324379224210812,-0.338045415974645
EAG,2008,2014,6,0.7277228920852187,-0.3000250199179727,0.030553854226205712,-1.0587286178198596e-5,-0.06436327225866667,0.036073475860796705,-0.658170289888115
EAG,2008,2015,7,0.7600782139451425,-0.3367390948052512,0.019690134217927313,2.5765102974306675e-5,-0.0013137553450577322,0.26826026538627573,-0.6260772119764427
EAG,2008,2016,8,0.3784124114065354,-0.21113801867004334,-0.05412283266627438,-4.08297920950762e-6,-0.18005032817950228,0.12229644056268524,-0.21980188601159983
EAG,2008,2017,9,0.7453929242515377,-0.10165383568704,-0.016657586298368332,-1.2148427108449322e-5,-0.09204044103274511,-0.09757867367499107,-0.725952197836625
EAG,2008,2018,10,0.47439312918259685,-0.12350578592716854,0.03654992291566356,-3.0969947561854116e-5,0.10254093644401363,0.11072640177913623,0.43091099351968254
EAG,2008,2019,11,0.8957228063491337,-0.11285299739843424,0.107119312211987,-1.3293350209331312e-5,0.28676894263999664,0.24722434135257682,-0.7967136864310775
EAG,2008,2022,14,0.8005533522952238,-0.17456027435290755,0.043101337476564194,-3.9443221302892795e-5,0.08538701976274377,0.154161718222063,-0.7599341255212718
EAG,2008,2023,15,0.6883970466142689,-0.1715942755655252,0.012102099920610954,-1.4837314343096875e-5,-0.005565427425388347,0.0120741749374913,-0.666425297880346
EAG,2009,2010,1,0.26859532133110264,0.08796549647049368,-0.054510611242579055,1.427586876540099e-5,-0.0580285445727573,0.2397296214880335,0.02442350764713247
EAG,2009,2011,2,0.695002709057833,0.05188360973201689,-0.03606836797605084,2.8952182308139562e-5,0.05605493811612805,0.5085109302180566,-0.46616564265696564
EAG,2009,2012,3,0.4471526942177382,0.11237161238062421,-0.01976494206132362,1.5759119781022513e-5,0.1007922438249158,0.26616657349985035,-0.325459334218902
