species,region,pc,pc_sd
Acropora cervicornis,North/Northeast,0.06166666666666667,0.23734280944533015
Acropora cervicornis,South,0.0536,0.268
Acropora cervicornis,Southwest,0.16,0.5045516958579205
Acropora cervicornis,West,0.06471428571428572,0.5414385600284803
Acropora palmata,Southwest,3.9383333333333335,10.10930165169966
Acropora palmata,West,5.038714285714286,13.899502328847895
Colpophyllia natans,Mona/Desecheo,0.6533333333333333,1.5473464228739964
Colpophyllia natans,South,0.4672,1.3912000814644407
Colpophyllia natans,Southwest,0.31733333333333336,1.0522551589515872
Colpophyllia natans,Vieques/Culebra,0.07566666666666666,0.2956428802519657
Colpophyllia natans,West,0.6465714285714286,1.8869067438645206
Diploria labyrinthiformis,Mona/Desecheo,0.178,0.5191779216084927
Diploria labyrinthiformis,North/Northeast,0.07400000000000001,0.40531469255382296
Diploria labyrinthiformis,South,0.2328,0.6371781540511257
Diploria labyrinthiformis,Southwest,0.038,0.2081345718519631
Diploria labyrinthiformis,Vieques/Culebra,0.06366666666666666,0.3487166949449558
Diploria labyrinthiformis,West,0.097,0.4060497220927435
Montastraea cavernosa,Mona/Desecheo,0.37,0.6055929797668209
Montastraea cavernosa,North/Northeast,0.25566666666666665,0.7453149453862387
Montastraea cavernosa,South,1.5444,1.8354769589037794
Montastraea cavernosa,Southeast,3.255,3.396577525817553
Montastraea cavernosa,Southwest,0.801,1.162723764152147
Montastraea cavernosa,Vieques/Culebra,0.07033333333333333,0.3852315321119668
Montastraea cavernosa,West,1.3175714285714286,2.016471617622993
Orbicella annularis,North/Northeast,0.626,2.046673668039992
Orbicella annularis,Southwest,1.2630000000000001,3.3375069675763513
Orbicella annularis,Vieques/Culebra,1.1386666666666667,1.9137285025857758
Orbicella annularis,West,0.8932857142857142,2.7833587891373837
Orbicella faveolata,Mona/Desecheo,5.207333333333334,6.508732010226906
Orbicella faveolata,North/Northeast,3.9610000000000003,6.178132375983248
Orbicella faveolata,South,2.9268,3.9855266485957244
Orbicella faveolata,Southeast,1.855,2.967229347387896
Orbicella faveolata,Southwest,6.202333333333333,7.7812695902906235
Orbicella faveolata,Vieques/Culebra,1.6656666666666666,2.5743612308932944
Orbicella faveolata,West,5.192428571428572,5.419317416699262
Orbicella franksi,Mona/Desecheo,3.2706666666666666,7.143602999154125
Orbicella franksi,North/Northeast,0.35033333333333333,1.3607692635071336
Orbicella franksi,South,1.9971999999999999,3.40821986771198
Orbicella franksi,Southwest,1.1826666666666668,2.256503143534617
Orbicella franksi,Vieques/Culebra,5.167,8.621790417308926
Orbicella franksi,West,3.4384285714285716,6.11915610259025
Porites astreoides,Mona/Desecheo,1.7173333333333334,1.4147108067257657
Porites astreoides,North/Northeast,1.859,1.9893134320751173
Porites astreoides,South,2.028,2.0426616623089267
Porites astreoides,Southeast,1.081,1.46399339707072
Porites astreoides,Southwest,1.9836666666666667,2.187392532663953
Porites astreoides,Vieques/Culebra,1.5413333333333334,1.6833274382507453
Porites astreoides,West,1.7958571428571428,2.013291697086375
Porites furcata,North/Northeast,0.10633333333333334,0.5824116528138266
Porites furcata,Southwest,0.09033333333333333,0.3793141117890275
Porites furcata,Vieques/Culebra,0.09933333333333333,0.26968606696053776
Porites furcata,West,0.04542857142857143,0.20226031235625871
