species,corallite diameter,growth rate,skeletal density,symbiodinium density,colony maximum diameter
Acropora cervicornis,1.2000000000000002,111.29704081632651,1.5099090909090909,1509661.605206078,26.38
Acropora palmata,0.65,71.03571428571429,1.8371428571428572,2319873.7623762377,265.3333333333333
Agaricia spp.,2.545,1.423818181818182,2.16125,2.302e-6,19.572
Colpophyllia natans,22.5,5.5597916666666665,0.764,9.8e-7,113.22
Diploria labyrinthiformis,7,3.99,1.4783333333333333,2.47e-6,36.53916666666667
Montastraea cavernosa,6.059285714285714,4.5094594594594595,1.7025,2.485e-6,130.46
Orbicella annularis,2.45,7.314666666666667,1.7281117021276595,2181896.1156278695,39.74
Orbicella faveolata,2.375,8.59,1.18,3022429.8093587635,122.66666666666669
Orbicella franksi,3.075,5.21625,2.115,1646720.5240174772,38.665
Porites astreoides,1.393333333333333,3.641153846153846,1.535,2725010.3092784,9.336363636363636
Porites furcata,1.7000000000000002,29.56,1.0533333333333337,2.663333333333334e-6,10
Pseudodiploria spp.,5.866466666666667,4.3561538461538465,1.45,4.212222222222222e-6,57.2425
Siderastrea spp.,3.56,5.317777777777778,1.635,1218376.9936508306,57.8225
