species,i,hv_size_Wet,hv_size_Dry,size_rat,jaccard,sorensen,uniq_Wet,uniq_Dry,dist_cent
Bay anchovy,1,3.2664161104320066,39.573062180315056,12.115131949640439,0.07471419057299226,0.13904011174014147,0.08823529411764709,0.9247416611166654,1.6936224276794003
Mojarra,1,0.09093468591536252,18.070267896685017,198.71699907232232,0,0,1,1,3.760161022882179
Pigfish,1,1.224968065064364,25.136891067282892,20.520446029719245,0,0,1,1,2.818511672197654
Pinfish,1,3.088967671170775,15.050243534897621,4.872256733329069,0,0,1,1,3.4001962924557754
Pink shrimp,1,0.9620671551556231,26.570157245507172,27.617778138584523,0,0,1,1,3.996600588700802
Rainwater killifish,1,6.323761883747828,33.513580869282535,5.29962726069952,0.08463491430671925,0.15606157093111186,0.508435136707388,0.9072453893242808,1.556223447102376
Silver perch,1,43.98561141215366,40.615704567906384,0.9233861543341845,0.3175535756808891,0.48203516204915287,0.5364301217062123,0.4979674796747967,1.1030454839638548
Bay anchovy,2,3.2722326875573184,41.11283611593948,12.56415421564342,0.043949292297252446,0.08419813610015532,0.4289617486338798,0.9545502035739796,1.7125760256000107
Mojarra,2,0.10429927972805217,17.659492317298856,169.31557306382038,0,0,1,1,3.5498826730693684
Pigfish,2,1.1679150541574272,44.53701919092904,38.133782959976934,0,0,1,1,3.0668930787087527
Pinfish,2,1.4374446465059896,16.67749425268277,11.60218189494873,0,0,1,1,3.4167805738585075
Pink shrimp,2,0.9887593924666404,38.225707271460394,38.66027221860255,0,0,1,1,3.9809337076262836
Rainwater killifish,2,7.127091048264485,38.34491789048251,5.380163888858958,0.07505920166917777,0.1396373363488039,0.5545454545454546,0.9172042795244629,1.617399395318855
Silver perch,2,52.55751108507678,24.253885479094563,0.46147325050902627,0.2582526188592679,0.4104940692965134,0.7000369491152735,0.3499882158849871,1.2285170668843268
Bay anchovy,3,2.247610742975224,21.563814047303683,9.594105258083555,0.06884149035923827,0.12881515356613002,0.3176593521421107,0.9288791784639865,1.5129100775914295
Mojarra,3,0.12106842864132877,19.095449094906563,157.72443162269644,0,0,1,1,3.694917846521583
Pigfish,3,1.1533220400450417,32.03778727643217,27.77870027974231,0,0,1,1,2.773788796889363
Pinfish,3,1.7222292386924418,21.009565203588387,12.199052676366914,0,0,1,1,3.3190774935067378
Pink shrimp,3,0.6862639218238282,36.07995325639547,52.574457302824094,0,0,1,1,3.9166502790710696
Rainwater killifish,3,7.4215753834723,30.099096469928206,4.055620931501726,0.0856924324716824,0.15785765822571943,0.6009657594381036,0.9016095815409108,1.4888445882476882
Silver perch,3,36.529337073050556,22.895797303441267,0.6267783414096665,0.24173099583065297,0.3893451909347686,0.6833108380276536,0.4947349947349947,1.293880276719258
Bay anchovy,4,2.9352104188702244,41.09348198012934,14.000182649919322,0.04933543784932468,0.09403177681760296,0.2947530864197531,0.9496258776606524,1.8510238449974101
Mojarra,4,0.06913098920167678,20.758601228786148,300.2792447859642,0,0,1,1,3.523791368579334
Pigfish,4,0.8051931824869543,36.66568441992502,45.53650629117079,0,0,1,1,2.9055835580027045
Pinfish,4,1.3430908130475223,20.47007326212683,15.241019492702423,0,0,1,1,3.4486469466255216
Pink shrimp,4,0.7630564863966651,27.673308870390212,36.26639621539708,0,0,1,1,3.89085850623648
Rainwater killifish,4,5.992136274804664,34.37942214634601,5.73742327772189,0.04452896581295969,0.0852613326587888,0.7127791563275434,0.9499390528170163,1.8605148786868595
Silver perch,4,24.83068938912659,28.892050653019485,1.1635621629446733,0.25126320806791463,0.40161527398522673,0.5655401945724526,0.6266122951883872,1.3390395966771886
Bay anchovy,5,3.403715375002529,23.678174442225302,6.956567113725749,0.028868415795644507,0.0561168276767831,0.7767513471901463,0.9679082154803955,1.9633312602388282
Mojarra,5,0.12564596751705714,19.727102261383582,157.00545470116674,0,0,1,1,3.6163403902577844
Pigfish,5,0.9261605211217535,45.89952562772378,49.558931287775984,0,0,1,1,2.9860871752187
Pinfish,5,1.7964357203904915,24.93979521469426,13.882932148150056,0,0,1,1,3.3593782577381526
Pink shrimp,5,0.9873943426122637,24.090139126583075,24.397688022852027,0,0,1,1,4.030814404374528
Rainwater killifish,5,6.513119473154253,36.52661399381962,5.608159675924088,0.09827367681967548,0.17896026991059522,0.40870098039215685,0.8945645178138741,1.5158750191993438
Silver perch,5,49.81623409542443,31.443643940631112,0.6311927128092403,0.2616681751370599,0.414797139681571,0.6616929642286524,0.46401942084272585,1.3184868937990935
Bay anchovy,6,3.401339409333151,43.88456505355302,12.902142295219164,0.06229741101783583,0.11728807840762,0.18472222222222218,0.936810666079859,1.7362003470641998
Mojarra,6,0.11480906268831238,16.679496966681278,145.28031651964056,0,0,1,1,3.80954771882986
Pigfish,6,1.0752997107346094,43.31590026262588,40.282629884680134,0,0,1,1,2.819504147210994
Pinfish,6,2.1735437122432826,15.305522563638597,7.0417367166000044,0,0,1,1,3.2937559132600778
Pink shrimp,6,0.589680645314706,40.75349889936579,69.11113536313559,0,0,1,1,3.9774222061598543
Rainwater killifish,6,6.226525998976271,24.7804463345809,3.9798189774932533,0.04652676721067655,0.08891653547416668,0.7786058746163963,0.9443708051457527,1.8236536028696468
Silver perch,6,34.38398977885994,23.18472871832036,0.6742884949487409,0.2341366696617223,0.3794339402067995,0.6823590596593435,0.5289242768930777,1.345380670890558
Bay anchovy,7,4.918500941989875,37.11329340020508,7.545651375882461,0.0971678748874809,0.17712489968309703,0.24317617866004956,0.8997006641787184,1.7032516430012437
Mojarra,7,0.09977318183777999,17.16052261898833,171.99534286567524,0,0,1,1,3.6824235713808107
Pigfish,7,0.627593232187065,40.270961955873325,64.16729800532627,0,0,1,1,2.7705328106289917
Pinfish,7,1.317996523108484,23.680218861273534,17.9668295371705,0,0,1,1,3.417711673068381
Pink shrimp,7,0.6099609332308967,35.681610994434415,58.49819070449775,0,0,1,1,3.948101310690108
Rainwater killifish,7,8.286836949866416,27.778634623548694,3.3521396392379224,0.14197801148208025,0.24865279375706817,0.4589141599413059,0.838584934313266,1.5116292345300557
Silver perch,7,30.073771578141603,41.571986916380474,1.3823336660106866,0.1959876971327957,0.32774199534434567,0.6096046053628238,0.7175823723053576,1.4955677997644006
Bay anchovy,8,2.904030299319346,30.14421816478399,10.380132112206015,0.08585290660886019,0.1581299015480476,0.10023041474654379,0.913318098890532,1.5880191969715123
Mojarra,8,0.09203211285489178,19.78025848081139,214.92778843401302,0,0,1,1,3.4793322528412363
Pigfish,8,0.5223676451225926,46.04032994234481,88.13779025601742,0,0,1,1,3.0377805474718214
Pinfish,8,1.8458064614155192,18.100295127284628,9.806171722578002,0,0,1,1,3.4112674241637246
Pink shrimp,8,0.9969290303076721,42.2630664202387,42.39325482095298,0,0,1,1,4.020126579852359
Rainwater killifish,8,7.038853705013136,48.85146982231584,6.940259290731299,0.09501128468646766,0.1735348046457294,0.3110443275732531,0.9007305572362627,1.57382345151748
Silver perch,8,24.304539056613162,30.48482762180987,1.2542853641783047,0.3129457576444641,0.4767078241006929,0.4626822645702611,0.5716144421554809,1.1268819146675415
Bay anchovy,9,3.02684590753312,46.12060056988502,15.237181534448617,0.059308816167029536,0.11197644211369963,0.09090909090909091,0.9403373316098116,1.7355867642386218
Mojarra,9,0.11751305070767039,22.440626241249998,190.96284290222445,0,0,1,1,3.4942481324451964
Pigfish,9,0.9545310452030507,45.67555182064646,47.851300437200784,0,0,1,1,3.0234991428513456
Pinfish,9,2.3054704971574056,20.227385694835984,8.773647600251621,0,0,1,1,3.366243492244579
Pink shrimp,9,0.6338158229982753,46.744643371102526,73.75114611367114,0,0,1,1,3.9410298001011803
Rainwater killifish,9,4.174708280929944,22.350007004808347,5.353669166993804,0.04569775616081595,0.08740146163952975,0.7223400140153641,0.9481365065110015,1.5940898317366368
Silver perch,9,17.98531199182982,33.52451503216923,1.863994077355922,0.18172730421226493,0.30756216525504365,0.5595718901453958,0.7637180744268501,1.5500883028643366
Bay anchovy,10,3.7045692891170563,20.90862795594569,5.644010497352321,0.04428472645143732,0.0848135098210626,0.718249075215783,0.9500796596823501,1.699246532333931
Mojarra,10,0.1261318157438537,20.785848230399246,164.79464842249465,0,0,1,1,3.599642729043934
Pigfish,10,1.3383609152222204,48.13660489654845,35.96683401992196,0,0,1,1,2.781484516578451
Pinfish,10,2.1536697810002026,17.638466161440938,8.18995851501864,0,0,1,1,3.4676229869366813
Pink shrimp,10,0.8088469479714406,35.53766441022407,43.93620387559261,0,0,1,1,4.016775501096581
Rainwater killifish,10,5.802822254595221,38.69317446965065,6.667992361649497,0.07708175820033164,0.1431307467858811,0.4512372634643377,0.9177019548354863,1.6503326059238839
Silver perch,10,67.00328197552179,24.171443671698803,0.36075014475454087,0.1507252801805745,0.2619657059362115,0.8217650638632873,0.5059324612108306,1.5247079398890389
Bay anchovy,11,2.722059024569295,48.01853790993952,17.64052045768456,0.034913253661939835,0.06747087939670825,0.3711538461538462,0.9643521768331832,1.6266069708220914
Mojarra,11,0.1505123473639419,19.391916191059384,128.83937119238024,0,0,1,1,3.5551518922254473
Pigfish,11,0.7662086304407253,55.66075025727561,72.64437914939616,0,0,1,1,2.8435527782939483
Pinfish,11,2.458511178802151,23.790825673330065,9.67692393610411,0,0,1,1,3.380896521222322
Pink shrimp,11,0.9335418157820655,23.925078200473585,25.628287663183663,0,0,1,1,3.791321942283355
Rainwater killifish,11,5.897577704792545,45.569103218933975,7.7267490993638255,0.048164679223028445,0.09190288544874725,0.5989932885906041,0.9481014969875995,1.774087974937161
